model.h5,test data,model name, AUC, pearson correlation coefficient
BL1.po,TH1.po,onehot_cnn_one_branch,0.615511671,0.209474047
GM.po,NPC.po,embedding_dense,0.455691812,-0.094169735
GM.po,NPC.po,onehot_embedding_cnn_one_branch,0.611420785,0.192386904
GM.po,NPC.po,onehot_embedding_cnn_two_branch,0.540616871,0.097791608
GM.po,GM.po,onehot_cnn_one_branch,0.760320399,0.425658843
GM.po,GM.po,onehot_cnn_two_branch,0.820192239,0.53131959
AO.po,TH1.po,onehot_cnn_two_branch,0.626348802,0.16299593
CM.po,TH1.po,onehot_cnn_two_branch,0.635814525,0.269617605
BL1.po,TH1.po,onehot_cnn_two_branch,0.684151355,0.295165965
GM.po,GM.po,onehot_embedding_dense,0.862285511,0.618983616
AO.po,TH1.po,onehot_embedding_dense,0.668954355,0.264749565
CM.po,TH1.po,onehot_embedding_dense,0.662175685,0.288699506
BL1.po,TH1.po,onehot_embedding_dense,0.689371745,0.306063639
GM.po,GM.po,onehot_dense,0.706429334,0.363513856
BL1.po,TH1.po,onehot_dense,0.665665992,0.297858086
CM.po,TH1.po,onehot_dense,0.651156202,0.284773777
AO.po,TH1.po,onehot_dense,0.656605662,0.295807586
GM.po,GM.po,onehot_resnet18,0.716311855,0.305892188
GM.po,GM.po,embedding_cnn_one_branch,0.858380511,0.617168787
AO.po,TH1.po,onehot_resnet18,0.516122323,0.019447496
BL1.po,TH1.po,onehot_resnet18,0.611047815,0.148320226
CM.po,TH1.po,onehot_resnet18,0.587263696,0.135114195
GM.po,GM.po,embedding_cnn_two_branch,0.807614228,0.556057441
AO.po,TH1.po,embedding_cnn_one_branch,0.56628392,0.124344067
BL1.po,TH1.po,embedding_cnn_one_branch,0.615793649,0.212956952
CM.po,TH1.po,embedding_cnn_one_branch,0.588105601,0.15811824
GM.po,GM.po,embedding_dense,0.520829759,0.023020043
AO.po,TH1.po,embedding_cnn_two_branch,0.590524535,0.167979202
CM.po,TH1.po,embedding_cnn_two_branch,0.641584553,0.243322027
BL1.po,TH1.po,embedding_cnn_two_branch,0.639449135,0.247479917
GM.po,GM.po,onehot_embedding_cnn_one_branch,0.810173272,0.541351696
AO.po,TH1.po,embedding_dense,0.51061526,0.00912743
CM.po,TH1.po,embedding_dense,0.625954981,0.219998774
BL1.po,TH1.po,embedding_dense,0.493073464,-0.001599752
GM.po,GM.po,onehot_embedding_cnn_two_branch,0.805355407,0.551223585
AO.po,TH1.po,onehot_embedding_cnn_one_branch,0.560646778,0.122888217
CM.po,TH1.po,onehot_embedding_cnn_one_branch,0.627070948,0.203298323
BL1.po,TH1.po,onehot_embedding_cnn_one_branch,0.499915548,0.018494698
GM.po,BL1.po,onehot_cnn_one_branch,0.621621055,0.201425397
AO.po,TH1.po,onehot_embedding_cnn_two_branch,0.577102769,0.141623667
CM.po,TH1.po,onehot_embedding_cnn_two_branch,0.625149675,0.221921073
BL1.po,TH1.po,onehot_embedding_cnn_two_branch,0.60885354,0.197286856
GM.po,BL1.po,onehot_cnn_two_branch,0.629434128,0.214361958
GM.po,BL1.po,onehot_embedding_dense,0.649239116,0.231928857
GM.po,BL1.po,onehot_dense,0.601124831,0.197109187
GM.po,BL1.po,onehot_resnet18,0.592191117,0.152782476
GM.po,BL1.po,embedding_cnn_one_branch,0.638468998,0.255250094
CM.po,IMR90.po,onehot_cnn_one_branch,0.631387048,0.203684995
BL1.po,IMR90.po,onehot_cnn_one_branch,0.59433999,0.155952531
AO.po,IMR90.po,onehot_cnn_one_branch,0.605812003,0.171725726
GM.po,BL1.po,embedding_cnn_two_branch,0.643887167,0.284312982
GM.po,BL1.po,embedding_dense,0.46226256,-0.063002154
GM.po,BL1.po,onehot_embedding_cnn_one_branch,0.607541163,0.217174904
GM.po,BL1.po,onehot_embedding_cnn_two_branch,0.607783611,0.241580603
GM.po,AO.po,onehot_cnn_one_branch,0.540928403,0.06500605
GM.po,AO.po,onehot_cnn_two_branch,0.60342364,0.19356884
GM.po,AO.po,onehot_embedding_dense,0.613244932,0.219399714
CM.po,IMR90.po,onehot_cnn_two_branch,0.6442172,0.264287683
AO.po,IMR90.po,onehot_cnn_two_branch,0.648867635,0.211068494
BL1.po,IMR90.po,onehot_cnn_two_branch,0.619079876,0.194377709
GM.po,AO.po,onehot_dense,0.610872961,0.190572182
AO.po,IMR90.po,onehot_embedding_dense,0.678311664,0.287217746
CM.po,IMR90.po,onehot_embedding_dense,0.681153485,0.300123987
BL1.po,IMR90.po,onehot_embedding_dense,0.652838665,0.260882403
GM.po,AO.po,onehot_resnet18,0.571178174,0.115916674
GM.po,AO.po,embedding_cnn_one_branch,0.588771024,0.177298093
AO.po,IMR90.po,onehot_dense,0.672901262,0.322798891
BL1.po,IMR90.po,onehot_dense,0.650985742,0.26344388
CM.po,IMR90.po,onehot_dense,0.674549424,0.315461501
GM.po,AO.po,embedding_cnn_two_branch,0.584288991,0.17907785
AO.po,IMR90.po,onehot_resnet18,0.506166342,0.013197871
CM.po,IMR90.po,onehot_resnet18,0.573440892,0.111714013
BL1.po,IMR90.po,onehot_resnet18,0.583056626,0.11987437
GM.po,AO.po,embedding_dense,0.472104358,-0.072085446
AO.po,IMR90.po,embedding_cnn_one_branch,0.619236995,0.218139702
CM.po,IMR90.po,embedding_cnn_one_branch,0.645607129,0.260298334
BL1.po,IMR90.po,embedding_cnn_one_branch,0.634423955,0.249970382
GM.po,AO.po,onehot_embedding_cnn_one_branch,0.593033257,0.185145548
AO.po,IMR90.po,embedding_cnn_two_branch,0.643332984,0.258096764
GM.po,AO.po,onehot_embedding_cnn_two_branch,0.579090214,0.190681526
CM.po,IMR90.po,embedding_cnn_two_branch,0.647147874,0.256742657
BL1.po,IMR90.po,embedding_cnn_two_branch,0.613240727,0.209987066
AO.po,IMR90.po,embedding_dense,0.525833696,0.036398681
GM.po,LI11.po,onehot_cnn_one_branch,0.622831338,0.202325184
CM.po,IMR90.po,embedding_dense,0.634770824,0.237101965
BL1.po,IMR90.po,embedding_dense,0.503509699,0.008620865
AO.po,IMR90.po,onehot_embedding_cnn_one_branch,0.650037107,0.268261112
GM.po,LI11.po,onehot_cnn_two_branch,0.630812854,0.225733192
CM.po,IMR90.po,onehot_embedding_cnn_one_branch,0.644120162,0.231062324
BL1.po,IMR90.po,onehot_embedding_cnn_one_branch,0.500588871,0.038338456
AO.po,IMR90.po,onehot_embedding_cnn_two_branch,0.652402003,0.267965208
GM.po,LI11.po,onehot_embedding_dense,0.642192817,0.282636346
CM.po,IMR90.po,onehot_embedding_cnn_two_branch,0.630928373,0.238702168
BL1.po,IMR90.po,onehot_embedding_cnn_two_branch,0.635745554,0.246138971
GM.po,LI11.po,onehot_dense,0.590581811,0.163185574
GM.po,LI11.po,onehot_resnet18,0.612350347,0.158344318
GM.po,LI11.po,embedding_cnn_one_branch,0.628530142,0.23039454
